GID	GENENAME
69645	ostta01g06200
69646	ostta01g06210
69647	ostta01g06220
69648	ostta01g06230
69649	ostta01g06240
69650	ostta01g06250
69651	ostta01g06260
69652	ostta01g06270
69653	ostta01g06280
69654	ostta01g06290
69655	ostta01g06310
69656	ostta01g06320
69657	ostta01g06330
69658	ostta01g06340
69659	ostta01g06350
69660	ostta01g06360
69661	ostta01g06370
69662	ostta01g06380
69663	ostta01g06390
69664	ostta01g06400
69665	ostta01g06410
69666	ostta01g06420
69667	ostta01g06430
69668	ostta01g06440
69669	ostta01g06450
69670	ostta01g06460
69671	ostta01g06465
69672	ostta01g06470
69673	ostta01g06490
69674	ostta01g06500
69675	ostta01g06510
69676	ostta01g06520
69677	ostta01g06530
69678	ostta01g06540
69679	ostta01g06545
69680	ostta01g06550
69681	ostta01g06555
69682	ostta01g06560
69683	ostta01g06570
69684	ostta01g06580
69685	ostta01g06590
69686	ostta01g06600
69687	ostta01g06610
69688	ostta01g06620
69689	ostta01g06630
69690	ostta01g06640
69691	ostta01g06650
69692	ostta01g06660
69693	ostta01g06670
69694	ostta01g06680
69695	ostta10g00010
69696	ostta10g00020
69697	ostta10g00030
69698	ostta10g00040
69699	ostta10g00050
69700	ostta10g00060
69701	ostta10g00070
69702	ostta10g00080
69703	ostta10g00090
69704	ostta10g00100
69705	ostta10g00110
69706	ostta10g00120
69707	ostta10g00130
69708	ostta10g00140
69709	ostta10g00150
69710	ostta10g00160
69711	ostta10g00170
69712	ostta10g00180
69713	ostta10g00190
69714	ostta10g00200
69715	ostta10g00210
69716	ostta10g00220
69717	ostta10g00230
69718	ostta10g00240
69719	ostta10g00250
69720	ostta10g00260
69721	ostta10g00270
69722	ostta10g00280
69723	ostta10g00290
69724	ostta10g00300
69725	ostta10g00310
69726	ostta10g00320
69727	ostta10g00330
69728	ostta10g00340
69729	ostta10g00350
69730	ostta10g00360
69731	ostta10g00370
69732	ostta10g00380
69733	ostta10g00390
69734	ostta10g00400
69735	ostta10g00410
69736	ostta10g00420
69737	ostta10g00430
69738	ostta10g00440
69739	ostta10g00450
69740	ostta10g00500
69741	ostta10g00510
69742	ostta10g00520
69743	ostta10g00530
69744	ostta10g00540
69745	ostta10g00545
69746	ostta10g00550
69747	ostta10g00560
69748	ostta10g00565
69749	ostta10g00570
69750	ostta10g00580
69751	ostta10g00590
69752	ostta10g00600
69753	ostta10g00610
69754	ostta10g00620
69755	ostta10g00630
69756	ostta10g00640
69757	ostta10g00650
69758	ostta10g00660
69759	ostta10g00670
69760	ostta10g00680
69761	ostta10g00690
69762	ostta10g00700
69763	ostta10g00710
69764	ostta10g00720
69765	ostta10g00730
69766	ostta10g00740
69767	ostta10g00750
69768	ostta10g00760
69769	ostta10g00770
69770	ostta10g00780
69771	ostta10g00790
69772	ostta10g00800
69773	ostta10g00810
69774	ostta10g00820
69775	ostta10g00830
69776	ostta10g00840
69777	ostta10g00850
69778	ostta10g00860
69779	ostta10g00870
69780	ostta10g00880
69781	ostta10g00890
69782	ostta10g00900
69783	ostta10g00910
69784	ostta10g00920
69785	ostta10g00930
69786	ostta10g00940
69787	ostta10g00950
69788	ostta10g00960
69789	ostta10g00970
69790	ostta10g00980
69791	ostta10g00990
69792	ostta10g01000
69793	ostta10g01010
69794	ostta10g01020
69795	ostta10g01030
69796	ostta10g01040
69797	ostta10g01050
69798	ostta10g01060
69799	ostta10g01070
69800	ostta10g01080
69801	ostta10g01090
69802	ostta10g01100
69803	ostta10g01110
69804	ostta10g01120
69805	ostta10g01130
69806	ostta10g01140
69807	ostta10g01150
69808	ostta10g01160
69809	ostta10g01170
69810	ostta10g01180
69811	ostta10g01190
69812	ostta10g01200
69813	ostta10g01210
69814	ostta10g01220
69815	ostta10g01230
69816	ostta10g01240
69817	ostta10g01250
69818	ostta10g01260
69819	ostta10g01270
69820	ostta10g01280
69821	ostta10g01290
