Cre02.g145800.t1.2	MDH3
Cre02.g145850.t1.2	FAP112
Cre02.g146400.t1.2	CSB1
Cre02.g146600.t1.2	AP4M4
Cre02.g146950.t1.1	DBR1
Cre02.g147100.t1.1	FAP265
Cre02.g147650.t1.2	MPI1
Cre02.g147750.t1.2	FAP209
Cre02.g147800.t1.2	SEC14
Cre02.g147900.t1.1	PYK5
Cre02.g147900.t2.1	PYK5
Cre02.g147900.t3.1	PYK5
Cre02.g147900.t4.1	PYK5
Cre03.g143827.t1.1	FBB7	FBB7
Cre03.g144084.t1.1	RBL7	RBL7
Cre03.g144164.t1.1	RSE2	RSE2
Cre03.g144564.t1.1	MMP13	MMP13
Cre03.g144627.t1.1	CGS1	CGS1
Cre03.g144667.t1.1	CLPS4	CLPS4
Cre03.g144727.t1.1	RBL2	RBL2
Cre03.g144807.t1.1	MAS1	MAS1
Cre03.g144847.t1.1	PYK4	PYK4
Cre03.g145087.t1.1	MTP1	MTP1
Cre03.g145127.t1.1	ODA11	ODA11
Cre03.g145147.t1.1	TRP8	TRP8
Cre03.g145207.t1.1	CPLD33	CPLD33
Cre03.g145247.t1.1	TEF11	TEF11
Cre03.g145387.t1.1	FAP239	FAP239
Cre03.g145527.t1.1	RBL1	RBL1
Cre03.g145547.t1.1	CBR1	CBR1
Cre03.g145567.t1.1	CGL18	CGL18
Cre03.g145587.t1.1	CPLD1	CPLD1
Cre03.g145607.t1.1	BET3	BET3
Cre03.g145747.t1.1	SHK7	SHK7
Cre03.g145787.t1.1	HSP22C	HSP22C
Cre03.g145887.t1.1	TAT3
Cre03.g146127.t1.1	FAP96	FAP96
Cre03.g146167.t1.1	TEF10a	TEF10a
Cre03.g146207.t1.1	MPA1	MPA1
Cre03.g146247.t1.1	NUOS4
Cre03.g146467.t1.1	TRS31	TRS31
Cre03.g146487.t1.1	XPO1	XPO1
Cre03.g146507.t1.1	SPT2	SPT2
Cre03.g146527.t1.1	GSD1	GSD1
Cre03.g146767.t1.1	GOX11	GOX11
Cre03.g146867.t1.1	FAP17
Cre03.g146867.t2.1	FAP17	FAP17
Cre03.g148250.t1.1	CGL58
Cre03.g148750.t1.2	CLH1
Cre03.g148900.t1.1	FMO5
Cre03.g149100.t1.2	CIS2
Cre03.g149350.t1.1	RWP4
Cre03.g149400.t1.1	RWP11
Cre03.g149600.t1.1	CYG53
Cre03.g149650.t1.1	CCD1
Cre03.g149800.t1.1	TOG1
Cre03.g150950.t1.1	GTR1
Cre03.g151000.t1.2	DSP8
Cre03.g151100.t1.1	SSA15
Cre03.g151200.t1.2	CGLD16
Cre03.g151250.t1.1	LAN1
Cre03.g151700.t1.2	CGL26
Cre03.g151700.t2.1	CGL26
Cre03.g151900.t1.2	LZY1A
Cre03.g151950.t1.2	LZY1B
Cre03.g152000.t1.2	MCS1
Cre03.g152050.t1.2	GOX12
Cre03.g152100.t1.2	XRN2
Cre03.g152400.t1.1	EXN1
Cre03.g153050.t1.1	RWP1
Cre03.g153950.t1.1	TRP12
Cre03.g154250.t1.1	MAPKKK6
Cre03.g154350.t1.2	COX2A
Cre03.g154550.t1.1	PCR1
Cre03.g154850.t1.1	COQ4
Cre03.g155200.t1.1	CHM1
Cre03.g155550.t1.2	DNJ18
Cre03.g155650.t1.2	CLC1
Cre03.g156700.t1.1	FAP185
Cre03.g156750.t1.2	CCT5
Cre03.g156900.t1.2	LHCBM5
Cre03.g156950.t1.1	QCR8
Cre03.g157000.t1.1	ELG1
Cre03.g157300.t1.2	CAF1
Cre03.g157700.t1.2	COX5C
Cre03.g158000.t1.2	GSA1
Cre03.g158250.t1.2	SCY2
Cre03.g158300.t1.1	PTK7
Cre03.g158400.t1.2	FAP218
Cre03.g158900.t1.2	DLA2
Cre03.g159200.t1.1	UBC8
Cre03.g159500.t1.2	ODC1
Cre03.g159500.t2.1	ODC1
Cre03.g159500.t3.1	ODC1
Cre03.g159500.t4.1	ODC1
Cre03.g159500.t5.1	ODC1
Cre03.g159650.t1.2	EFG6
Cre03.g159750.t1.2	VPS36
Cre03.g160050.t1.2	FAP184
Cre03.g160350.t1.2	ANK7
Cre03.g160400.t1.2	SAC1
Cre03.g160550.t1.1	MTP4
Cre03.g160750.t1.1	MTP3
Cre03.g160800.t1.2	MTP2
Cre03.g161400.t1.2	WSN2
Cre03.g161550.t1.2	FAP55
Cre03.g162800.t1.2	LCI1
Cre03.g162850.t1.1	FAP292
Cre03.g163000.t1.2	POC5
Cre03.g163350.t1.2	PAN5
Cre03.g163500.t1.2	CGLD21
Cre03.g163900.t1.1	PWR3
Cre03.g163950.t1.1	CDO2
Cre03.g164000.t1.2	TEF7
Cre03.g164250.t1.1	FAP262
Cre03.g164600.t1.2	ACA3
Cre03.g164650.t1.2	MOT1
Cre03.g165100.t1.2	PSAI
Cre03.g165200.t1.1	APG7
Cre03.g165400.t1.2	COX16
Cre03.g165700.t1.1	PDC3
Cre03.g166050.t1.2	SBD1
Cre03.g166700.t1.1	FOR1
Cre03.g166750.t1.2	PTK3
Cre03.g166950.t1.2	PGM5
Cre03.g167000.t1.2	UBC3
Cre03.g167150.t1.2	FMO1
Cre03.g167550.t1.1	POC3
Cre03.g167600.t1.2	FAP61
Cre03.g168200.t1.2	FAP69
Cre03.g168450.t1.2	CCT8
Cre03.g168550.t1.1	AOT3
Cre03.g168700.t1.2	PGP1
Cre03.g169400.t1.2	GAD1
Cre03.g169550.t1.1	AOX2
Cre03.g170350.t1.2	SEC12
Cre03.g170600.t1.1	POC4
Cre03.g170750.t1.2	RNP3
Cre03.g171050.t1.1	GHL1
Cre03.g171300.t1.2	GYX1
Cre03.g171350.t1.2	SEC61A
Cre03.g171550.t1.1	SSA13
Cre03.g171800.t1.2	FAP123
Cre03.g171900.t1.1	FAP56
Cre03.g172050.t1.1	TFB4
Cre03.g172500.t1.1	PTO2
Cre03.g172550.t1.2	PRM1
Cre03.g172650.t1.2	TUE1
Cre03.g172850.t1.2	ASL3
Cre03.g172950.t1.2	CBF5
Cre03.g173200.t1.2	TOX2
Cre03.g173350.t1.2	ANK22
Cre03.g173350.t2.1	ANK22
Cre03.g173800.t1.2	PDX2
Cre03.g173800.t2.1	PDX2
Cre03.g174050.t1.2	MRP4
Cre03.g174250.t1.2	FAP111
Cre03.g174350.t1.2	PWR2
Cre03.g174400.t1.2	CDO1
Cre03.g174750.t1.2	CYN26
Cre03.g175050.t1.1	TRP13
Cre03.g175200.t1.2	TOC75
Cre03.g175400.t1.2	PGI1
Cre03.g175400.t2.1	PGI1
Cre03.g176250.t1.2	ATPvD1
Cre03.g176350.t1.2	PLP5
Cre03.g176350.t2.1	PLP5
Cre03.g176700.t1.1	MRPS29
Cre03.g176800.t1.1	FPG1
Cre03.g177200.t1.2	CRB3
Cre03.g177700.t1.1	NIT2
Cre03.g177900.t1.2	TOB38
Cre03.g178050.t1.1	MOT51
Cre03.g178150.t1.1	CAM1
Cre03.g178250.t1.2	NUOS6
Cre03.g178350.t1.1	FAP272
Cre03.g178450.t1.2	CPN10
Cre03.g178500.t1.2	RIB43
Cre03.g178600.t1.1	TOP1
Cre03.g178650.t1.1	MCM6
Cre03.g179450.t1.1	SRR7
Cre03.g179550.t1.1	TF2H2
Cre03.g179800.t1.2	LCI24
Cre03.g180300.t1.2	SIR3
Cre03.g180350.t1.2	CKS1
Cre03.g180650.t1.1	DEG7
Cre03.g180750.t1.2	MES1
Cre03.g180850.t1.2	SEC23A
Cre03.g181150.t1.1	FLA14
Cre03.g181300.t1.2	SHK6
Cre03.g181350.t1.1	MRPL17
Cre03.g181400.t1.1	ADC1
Cre03.g181500.t1.2	DPE1
Cre03.g182150.t1.2	TEF8
Cre03.g182500.t1.2	SRP72
