TID	TRANSNAME
69800	ostta10g00690T0
69801	ostta10g00700T0
69802	ostta10g00710T0
69803	ostta10g00720T0
69804	ostta10g00730T0
69805	ostta10g00740T0
69806	ostta10g00750T0
69807	ostta10g00760T0
69808	ostta10g00770T0
69809	ostta10g00780T0
69810	ostta10g00790T0
69811	ostta10g00800T0
69812	ostta10g00810T0
69813	ostta10g00820T0
69814	ostta10g00830T0
69815	ostta10g00840T0
69816	ostta10g00850T0
69817	ostta10g00860T0
69818	ostta10g00870T0
69819	ostta10g00880T0
69820	ostta10g00890T0
69821	ostta10g00900T0
69822	ostta10g00910T0
69823	ostta10g00920T0
69824	ostta10g00930T0
69825	ostta10g00940T0
69826	ostta10g00950T0
69827	ostta10g00960T0
69828	ostta10g00970T0
69829	ostta10g00980T0
69830	ostta10g00990T0
69831	ostta10g01000T0
69832	ostta10g01010T0
69833	ostta10g01020T0
69834	ostta10g01030T0
69835	ostta10g01040T0
69836	ostta10g01050T0
69837	ostta10g01060T0
69838	ostta10g01070T0
69839	ostta10g01080T0
69840	ostta10g01090T0
69841	ostta10g01100T0
69842	ostta10g01110T0
69843	ostta10g01120T0
69844	ostta10g01130T0
69845	ostta10g01140T0
69846	ostta10g01150T0
69847	ostta10g01160T0
69848	ostta10g01170T0
69849	ostta10g01180T0
69850	ostta10g01190T0
69851	ostta10g01200T0
69852	ostta10g01210T0
69853	ostta10g01220T0
69854	ostta10g01230T0
69855	ostta10g01240T0
69856	ostta10g01250T0
69857	ostta10g01260T0
69858	ostta10g01270T0
69859	ostta10g01280T0
69860	ostta10g01290T0
69861	ostta10g01300T0
69862	ostta10g01310T0
69863	ostta10g01320T0
69864	ostta10g01330T0
69865	ostta10g01340T0
69866	ostta10g01350T0
69867	ostta10g01360T0
69868	ostta10g01370T0
69869	ostta10g01380T0
69870	ostta10g01390T0
69871	ostta10g01400T0
69872	ostta10g01420T0
69873	ostta10g01430T0
69874	ostta10g01440T0
69875	ostta10g01450T0
69876	ostta10g01460T0
69877	ostta10g01470T0
69878	ostta10g01480T0
69879	ostta10g01490T0
69880	ostta10g01500T0
69881	ostta10g01510T0
69882	ostta10g01520T0
69883	ostta10g01530T0
69884	ostta10g01540T0
69885	ostta10g01550T0
69886	ostta10g01560T0
69887	ostta10g01570T0
69888	ostta10g01580T0
69889	ostta10g01590T0
69890	ostta10g01600T0
69891	ostta10g01610T0
69892	ostta10g01620T0
69893	ostta10g01630T0
69894	ostta10g01640T0
69895	ostta10g01650T0
69896	ostta10g01660T0
69897	ostta10g01670T0
69898	ostta10g01680T0
69899	ostta10g01690T0
69900	ostta10g01700T0
69901	ostta10g01705T0
